"Credit_card","Product_ID","P_CATEGORY","CONDTION","Brand","Price ","Selling_price","Coupon_ID","Date","Time","GTIN","MPN","Merchant_name","M_ID","Payment method","Transaction ID","Return_ind","Return_date"
"4595","534","SHOES","New","RKFCM","$1,484.74 ","$1,471.74 ","BN710","26/08/2014","17:16:17","3109172","547836726","Peninsula Beauty","YE5901","Prepaid card","30462","0",""
"6679","396","LUGGAGE","New","TNVON","$1,452.50 ","$1,442.50 ","KF815","26/01/2014","15:40:52","7583605","279617132","DODOcase","UW7354","Mobile carrier Billing","37927","0",""
"7075","449","SHOES","Refurbished","VKKEA","$4,308.02 ","$4,284.02 ","UG960","03/01/2014","1:29:05","9985192","633765867","Staples","VN6656","Credit card","80640","0",""
"1418","145","BEDDING","New","PIUEM","$3,272.59 ","$3,249.59 ","DK471","30/05/2014","9:10:00","7720605","734500382","Road Runner Sports","MS6579","Prepaid card","58692","0",""
"6740","844","ELECTRONICS","Used","FMBZC","$628.67 ","$608.67 ","OJ311","14/08/2014","5:31:30","8367528","241944637","L'Occitane","GN3944","Debit card","21505","0",""
"4305","922","LUGGAGE","New","IWPJG","$3,788.97 ","$3,740.97 ","","18/08/2014","2:25:07","7436510","436743043","Guitar Center","GN4259","Mobile carrier Billing","75073","0",""
"4477","616","OFFICE SUPPLIES","Used","EVWJY","$1,011.90 ","$1,001.90 ","LU503","22/04/2014","10:04:56","2195580","258635926","Cole Hardware","EX7730","Mobile carrier Billing","89706","0",""
"4672","300","APPLIANCES","New","KZDWR","$4,918.58 ","$4,891.58 ","UX835","20/01/2014","1:45:09","1593030","943939956","Walgreens","VW7191","Credit card","63096","0",""
"5481","827","ELECTRONICS","New","OULOW","$2,830.51 ","$2,802.51 ","KG804","12/05/2014","9:43:54","6339658","532985898","Gymboree","ZF8986","Prepaid card","74652","0",""
"5974","470","LUGGAGE","Used","TNVON","$4,783.25 ","$4,764.25 ","ER876","23/09/2014","5:13:44","4604782","832455526","REI","EI6775","Credit card","28877","1","9/30/14"
"","266","COMPUTERS","Used","GCVNE","$2,143.08 ","$2,098.08 ","MS262","03/07/2014","17:23:52","8417362","243355173","REI","EI6774","Credit card","74588","0",""
"3705","236","ELECTRONICS","Used","BEFJD","$4,195.69 ","$4,172.69 ","SZ440","02/08/2014","7:34:13","7532423","594165749","Ulta","UO9658","Credit card","67276","0",""
"6391","694","BABY CLOTHING","Used","GOZLI","$3,967.19 ","$3,918.19 ","GX363","17/02/2014","12:35:33","9712740","237169507","The North Face","GH6872","Mobile carrier Billing","99538","0",""
"8844","832","DECOR","New","ZACKV","$1,023.49 ","$974.49 ","SZ707","26/07/2014","0:00:17","6544166","696803356","Costco","GW8247","Debit card","90940","0",""
"1256","722","GAMES","Refurbished","EITXF","$2,421.99 ","$2,383.99 ","HQ715","12/11/2014","16:56:51","7084452","882578141","Peninsula Beauty","YE5901","Mobile carrier Billing","82394","0",""
"","710","KITCHEN & DINING","New","RGMIK","$663.82 ","$650.82 ","ZG209","26/04/2014","17:41:01","8042908","596308320","Road Runner Sports","MS6579","Mobile carrier Billing","15559","0",""
"3833","763","DECOR","Refurbished","LBVIW","$4,943.44 ","$4,924.44 ","MD699","27/06/2014","7:01:54","5427529","673782264","Right Start","IQ1509","Mobile carrier Billing","37012","0",""
"6565","396","LUGGAGE","New","TNVON","$1,452.50 ","$1,439.50 ","FU406","24/03/2014","17:02:19","6595702","714268927","DODOcase","UW7354","Mobile carrier Billing","26010","0",""
"4852","136","KITCHEN & DINING","New","NSILF","$4,019.79 ","$3,984.79 ","OY795","21/02/2014","6:45:11","2593122","512087228","Nine West","RM9837","Credit card","14148","0",""
"4139","295","COMPUTERS","New","YEJZI","$2,868.97 ","$2,827.97 ","XU183","05/11/2014","16:52:32","5374063","403676957","DFLOWERS","ZG2587","Credit card","31465","0",""
"6814","988","COMPUTERS","Used","DCJRW","$865.57 ","$846.57 ","ZY761","24/06/2014","13:32:23","9426754","603357620","Staples","VN6655","Debit card","36072","0",""
"4632","722","GAMES","Refurbished","EITXF","$2,421.99 ","$2,403.99 ","UE270","03/02/2014","20:14:53","6880331","362536715","Peninsula Beauty","YE5901","Mobile carrier Billing","57463","0",""
"7589","183","LUGGAGE","New","CENQJ","$404.74 ","$376.74 ","BW423","03/04/2014","22:02:49","5341049","895492103","The North Face","GH6872","Credit card","17852","0",""
"8532","849","ELECTRONICS","Refurbished","FMBZC","$3,697.22 ","$3,655.22 ","","03/11/2014","7:55:12","6012731","984647242","Walgreens","VW7191","Mobile carrier Billing","50826","0",""
"1256","827","ELECTRONICS","New","OULOW","$2,830.51 ","$2,784.51 ","BD959","25/12/2014","11:07:06","6254809","941727313","Gymboree","ZF8986","Credit card","4579","0",""
"2019","554","SHOES","New","RKFCM","$3,461.72 ","$3,434.72 ","BQ577","09/05/2014","1:52:11","6928957","178967169","Guitar Center","GN4079","Mobile carrier Billing","32707","0",""
"3024","484","OFFICE SUPPLIES","Used","WELZA","$2,205.71 ","$2,167.71 ","PZ797","10/12/2014","10:15:28","1795962","446029937","Peninsula Beauty","YE5901","Credit card","14518","0",""
"4879","552","SHOES","New","RKFCM","$1,257.44 ","$1,235.44 ","NB862","20/02/2014","13:07:59","2076997","938782837","Gymboree","ZF8986","Mobile carrier Billing","48637","0",""
"7979","389","CLOTHING","New","GTFFL","$3,747.69 ","$3,704.69 ","JL124","17/01/2014","13:11:00","2948611","793611328","Guitar Center","GN4079","Credit card","88335","1","1/24/14"
"8919","579","SHOES","Refurbished","RKFCM","$2,298.99 ","$2,262.99 ","YU458","11/07/2014","21:28:46","9247848","596405169","Right Start","IQ1508","Credit card","21897","0",""
"1831","136","KITCHEN & DINING","New","NSILF","$4,019.79 ","$4,007.79 ","RJ810","10/03/2014","23:00:08","3219791","424826569","Nine West","RM9837","Credit card","18153","0",""
"3500","140","OFFICE SUPPLIES","Used","WELZA","$2,513.31 ","$2,490.31 ","QG119","04/03/2014","23:55:15","4595891","481854107","The Vitamin Shoppe","HW9975","Credit card","23857","0",""
"9950","544","ELECTRONICS","Used","FMBZC","$781.93 ","$771.93 ","TE137","07/04/2014","21:17:27","1383094","395592763","Peninsula Beauty","YE5901","Mobile carrier Billing","91005","0",""
"2011","406","CLOTHING","Used","ONKHS","$2,202.20 ","$2,181.20 ","IV500","05/03/2014","18:59:10","2500668","290049734","Cole Hardware","EX7730","Mobile carrier Billing","70204","0",""
"2297","236","ELECTRONICS","Used","BEFJD","$4,195.69 ","$4,146.69 ","VR794","04/06/2014","4:21:55","4725939","517233339","Ulta","UO9658","Credit card","13224","0",""
"3199","687","SHOES","Used","RKFCM","$3,827.74 ","$3,783.74 ","RX100","19/09/2014","21:05:12","1592936","302075403","PetSmart","IB7024","Prepaid card","24563","0",""
"4729","996","CLOTHING","New","GTFFL","$925.56 ","$887.56 ","FN159","18/06/2014","3:37:58","2864709","557640923","Road Runner Sports","MS6582","Mobile carrier Billing","13254","0",""
"9275","775","BABY TOYS","Refurbished","CTAOI","$379.49 ","$347.49 ","","16/10/2014","7:30:50","7626149","655334083","Guitar Center","GN3989","Prepaid card","22727","0",""
"","956","SHOES","Used","DYHNA","$2,800.18 ","$2,751.18 ","GP301","25/01/2014","22:07:02","6805351","352232665","Gymboree","ZF8986","Prepaid card","16647","0",""
"","539","ELECTRONICS","New","OULOW","$668.11 ","$621.11 ","VE748","28/01/2014","0:19:14","3482483","494669159","DFLOWERS","ZG2587","Credit card","6175","0",""
"","300","COMPUTERS","Used","YXQFM","$2,455.58 ","$2,435.58 ","YM653","31/08/2014","3:59:31","6302431","244787369","L'Occitane","GN4124","Credit card","78902","0",""
"2200","554","SHOES","New","RKFCM","$3,461.72 ","$3,432.72 ","LT350","18/07/2014","7:31:00","9004337","193113425","Guitar Center","GN4079","Mobile carrier Billing","84066","0",""
"6042","381","OFFICE SUPPLIES","New","WELZA","$4,694.60 ","$4,652.60 ","IZ391","02/11/2014","17:46:41","6321268","496409500","Cole Hardware","EX7729","Mobile carrier Billing","83147","0",""
"9856","406","CLOTHING","Refurbished","ZVYTC","$393.59 ","$358.59 ","LF155","24/06/2014","17:26:14","1534845","514773937","PetSmart","IB7024","Prepaid card","15256","0",""
"3598","381","GAMES","New","HWAVW","$751.39 ","$711.39 ","UK998","29/03/2014","11:35:46","3728150","846125645","REI","EI6774","Prepaid card","15767","0",""
"3970","554","KITCHEN & DINING","New","RGMIK","$4,185.27 ","$4,171.27 ","NQ702","02/12/2014","3:34:31","3734569","512929826","Barnes & Noble","EY1658","Prepaid card","60605","0",""
"8565","699","CLOTHING","New","KXUWE","$1,061.81 ","$1,025.81 ","ZF197","01/01/2014","5:38:06","7243094","223615048","Guitar Center","GN3989","Paypal wallet","9414","0",""
"5081","970","SHOES","New","DYHNA","$387.88 ","$369.88 ","UE386","01/10/2014","8:12:04","7069565","449749711","Right Start","IQ1509","Mobile carrier Billing","83651","0",""
"8532","544","APPLIANCES","Used","BUDLO","$2,135.85 ","$2,085.85 ","WR271","27/04/2014","21:07:55","7286957","436997432","The Vitamin Shoppe","HW9976","Mobile carrier Billing","73080","1","5/4/14"
"8794","138","BABY TOYS","Used","TPDLE","$3,521.43 ","$3,499.43 ","MR560","31/08/2014","17:56:55","2194751","377721525","Gymboree","ZF8986","Credit card","52643","0",""
"5850","752","CLOTHING","New","ZVYTC","$2,215.14 ","$2,189.14 ","UH554","16/06/2014","0:54:47","3066548","134202420","DFLOWERS","ZG2587","Credit card","53153","0",""
"6286","527","KITCHEN & DINING","Used","ZGHYW","$115.43 ","$94.43 ","IC659","01/08/2014","8:55:27","9595712","601093169","The Vitamin Shoppe","HW9978","Credit card","98527","0",""
"6502","662","BABY CLOTHING","New","CTAOI","$4,658.93 ","$4,633.93 ","FX696","01/09/2014","22:24:17","7072733","252043729","Peninsula Beauty","YE5901","Debit card","95979","0",""
"9756","527","BABY CLOTHING","New","BGYXR","$3,309.99 ","$3,297.99 ","MO330","29/06/2014","17:52:22","6314228","304066827","Barnes & Noble","EY1658","Prepaid card","33404","0",""
"4575","838","BEDDING","Refurbished","CJUEU","$1,980.83 ","$1,955.83 ","VE651","22/09/2014","18:45:54","1950281","373593328","Gymboree","ZF8986","Mobile carrier Billing","14901","0",""
"4540","544","ELECTRONICS","Used","FMBZC","$781.93 ","$746.93 ","WP978","13/11/2014","17:00:06","5333941","283461267","Peninsula Beauty","YE5901","Mobile carrier Billing","86126","0",""
"6143","435","GAMES","New","HWAVW","$4,157.59 ","$4,134.59 ","EL485","28/03/2014","0:15:44","8345560","151741511","Road Runner Sports","MS6580","Mobile carrier Billing","18761","0",""
"6224","195","BEDDING","Used","CJUEU","$3,757.01 ","$3,710.01 ","DJ214","25/01/2014","2:57:12","4411472","400900011","Ulta","UO9656","Credit card","52825","0",""
"7075","236","ELECTRONICS","Used","BEFJD","$4,195.69 ","$4,166.69 ","WP466","21/03/2014","12:56:21","7088399","978938668","Ulta","UO9658","Mobile carrier Billing","17955","0",""
"9275","572","LUGGAGE","New","CENQJ","$3,277.74 ","$3,264.74 ","AG242","01/09/2014","9:15:51","6427096","693711379","Gymboree","ZF8986","Mobile carrier Billing","11329","0",""
"5974","616","BABY TOYS","Refurbished","BGYXR","$378.28 ","$334.28 ","PK588","03/04/2014","8:02:27","2734865","183112169","Barnes & Noble","EY1658","Credit card","7408","0",""
"6740","644","CLOTHING","Used","KXUWE","$623.05 ","$591.05 ","","27/03/2014","1:14:01","6023006","476609602","Staples","VN6655","Prepaid card","52572","0",""
"6740","295","COMPUTERS","New","YEJZI","$2,868.97 ","$2,836.97 ","RA454","01/07/2014","11:30:58","4733839","364764535","DFLOWERS","ZG2587","Mobile carrier Billing","87104","0",""
"9305","119","OFFICE SUPPLIES","Refurbished","EVWJY","$3,130.29 ","$3,103.29 ","CI225","19/03/2014","17:30:08","9674480","876401479","Gymboree","ZF8986","Credit card","46897","0",""
"4336","795","CLOTHING","Refurbished","ONKHS","$2,667.33 ","$2,644.33 ","IA355","27/10/2014","23:44:45","7005859","206480235","L'Occitane","GN4034","Mobile carrier Billing","59763","0",""
"7433","844","BEDDING","New","RKCPD","$3,559.28 ","$3,527.28 ","LH644","05/03/2014","20:40:47","6881437","469526882","Walgreens","VW7191","Prepaid card","63391","0",""
"8919","907","DECOR","Used","LBVIW","$2,661.83 ","$2,636.83 ","GA750","19/09/2014","18:01:43","9589301","643749417","Cole Hardware","EX7731","Credit card","47091","0",""
"9532","151","COMPUTERS","New","DCJRW","$1,363.08 ","$1,337.08 ","NJ980","15/10/2014","23:01:03","2809474","513854006","Barnes & Noble","EY1660","Mobile carrier Billing","12765","0",""
"2297","318","BABY TOYS","New","LATFL","$1,635.58 ","$1,598.58 ","BV493","11/07/2014","23:45:01","2846673","684476493","Ulta","UO9661","Mobile carrier Billing","65539","0",""
"2412","544","APPLIANCES","Used","BUDLO","$2,135.85 ","$2,109.85 ","PD715","31/05/2014","8:31:17","9088154","460035435","The Vitamin Shoppe","HW9976","Prepaid card","84398","0",""
"6042","784","APPLIANCES","Used","AVMAI","$2,053.24 ","$2,017.24 ","CO838","09/03/2014","20:22:03","8990458","467157233","Ulta","UO9656","Credit card","53322","0",""
"7433","534","DECOR","Refurbished","ZACKV","$4,981.73 ","$4,932.73 ","IL296","15/03/2014","13:31:42","9181006","298672262","Ulta","UO9656","Credit card","17272","0",""
"6071","795","CLOTHING","Refurbished","ONKHS","$2,667.33 ","$2,618.33 ","TE356","17/05/2014","19:40:49","9919778","206921501","L'Occitane","GN4034","Mobile carrier Billing","40285","0",""
"6502","662","BABY CLOTHING","New","CTAOI","$4,658.93 ","$4,609.93 ","JJ698","03/10/2014","21:17:54","5570207","303879646","Peninsula Beauty","YE5901","Mobile carrier Billing","10537","1","10/10/14"
"8067","360","DECOR","Used","DGWZG","$438.77 ","$390.77 ","VJ762","16/09/2014","22:59:45","7420401","760954315","DFLOWERS","ZG2587","Credit card","25306","0",""
"9131","752","CLOTHING","New","ZVYTC","$2,215.14 ","$2,177.14 ","GD818","21/11/2014","0:12:51","8196443","104508191","DFLOWERS","ZG2587","Mobile carrier Billing","61987","0",""
